Gene_Symbol	Selected_Probe_ID	GSM249671	GSM249672	GSM249673	GSM249674	GSM249675	GSM249676	GSM249677	GSM249678	GSM249679	GSM249680
C2orf57	238187_at	4.519023978	4.778499977	4.104101935	4.857946594	4.698643906	4.633650169	4.690401767	4.416207961	4.830338484	4.601716532
C2orf61	1553460_at	2.900831937	2.8498315	2.549125585	2.517340668	2.918924053	3.032567179	3.032567179	2.72792338	3.262084223	2.691358465
C2orf68	65472_at	5.475983798	4.383972158	4.642364954	5.104330758	5.87928226	4.718713502	5.959243608	5.207511832	5.559726635	5.127945078
C2orf69	238974_at	7.881078866	8.615416392	9.431929133	8.999146803	8.989433264	9.223526742	9.657413666	9.197220994	7.740035545	7.631583757
C2orf70	231126_at	4.348448232	3.98362524	4.120307338	3.121858041	4.023819329	4.370406716	3.848366486	3.765494027	3.171684447	3.543984924
C2orf71	1556312_at	2.57938585	2.627832153	2.616648012	2.66904351	2.71317661	2.856694814	2.466233772	2.432072334	2.536492124	2.324780628
C2orf72	213148_at	4.210111387	4.461067092	4.103451305	3.700197884	3.867496504	4.386923611	3.926326831	3.678601807	4.516972207	3.804185315
C2orf73	231081_at	2.660479179	2.939305033	2.402392581	2.058906851	2.510115076	2.896171791	2.676413901	2.427820976	2.978155568	2.938332766
C2orf74 /// KIAA1841	1568658_at	8.830915369	7.286340037	8.604927196	8.167765033	8.843133524	9.464815911	9.913715242	9.909499855	7.779140394	9.715021656
C2orf76	227840_at	8.663206784	8.08062016	8.391372831	8.143903679	8.235305939	7.337468344	8.257161628	8.068261135	7.825462081	7.3819477
C2orf80	241998_at	1.424000853	1.638621133	1.482353736	1.681378121	1.310332112	2.441082808	1.761413652	1.36472269	1.511067265	1.665175665
C2orf81	236070_at	6.550572717	6.453819729	5.189622503	6.153813641	5.7608378	4.959958915	6.043345006	5.651109769	6.861586236	5.87164711
C2orf82	232299_at	4.41134033	4.733050388	4.162517351	3.908504299	4.494325299	4.164562497	4.999781287	4.278416228	5.553689452	4.33285003
C2orf83	208265_at	2.206874771	2.441122387	1.954958321	2.300225209	1.69194231	1.992918237	2.455472071	1.916196806	2.439832648	2.468135875
C2orf88	223754_at	7.364414104	2.979196218	8.465923912	4.048569055	7.983478891	3.472018704	7.534902195	5.366102853	7.519259003	4.152027134
C3	217767_at	10.15260431	11.56484209	11.42319786	11.11730218	12.08451581	11.56965104	8.951105732	11.57995323	12.44866634	12.8509002
C3AR1	209906_at	6.579627759	8.08104103	6.257320279	8.066924042	5.889935281	8.536643627	6.821687506	8.352368934	6.22888627	8.968930453
C3orf14	219288_at	5.604427888	6.076222094	6.124213009	7.385242108	9.173117248	8.275072149	7.141105995	7.297503585	7.230329577	5.443715834
C3orf17	225281_at	8.745031364	7.90113301	9.36249624	8.578264929	9.344614475	8.722865432	9.250447153	8.684344985	8.970776987	8.244737576
C3orf18	219114_at	4.596367264	3.844946777	4.308556082	4.634300153	5.130027894	4.527041167	4.05154196	4.165952355	5.437463472	5.718309149
C3orf20	224273_at	1.797532214	2.365377601	1.746787315	1.957329168	2.059524682	1.98484424	2.320315234	1.961836577	3.158301243	2.368889375
C3orf22	237894_at	2.849416633	3.522927298	3.016485665	3.659519831	3.118435924	3.345825562	3.172018054	3.009413963	3.820261404	3.389022569
C3orf27	208440_at	3.848910527	4.35045405	3.753684949	3.836507189	3.974476529	4.527041167	3.530642459	3.890097782	4.168492685	4.241432088
C3orf30	1553146_at	1.655521809	1.961164713	1.428280814	2.254933962	1.60727488	1.878362619	1.374750648	1.515857278	1.542477291	1.497535932
C3orf33	1554176_a_at	4.31077027	3.222428943	5.2554233	5.382574371	4.886256938	5.992188783	5.383827703	4.380201687	4.068331416	2.62482615
C3orf35	237368_at	2.477197377	2.168963178	1.720591675	2.437998525	2.720974581	2.407680853	2.53549929	2.393764801	2.588285445	2.687061534
