Gene.Symbol,GSM775184,GSM775185,GSM775190,GSM775191,GSM775224,GSM775225,GSM775249,GSM775250,GSM775258,GSM775259,GSM775264,GSM775265,GSM775270,GSM775271,GSM775275,GSM775279,GSM775286,GSM775287
HS2ST1,7.024654336,6.57859324,7.678476198,7.744901767,6.15901616,6.345409505,7.144333982,7.227889296,7.63705374,6.722690062,6.271916028,6.877530774,8.068348361,7.277164632,6.602665168,6.688766439,6.974323952,6.595415936
HS322B1A,6.253208162,6.33706077,6.151951742,6.462622018,6.422713202,6.146891824,6.196171282,6.112415735,6.084679576,6.236204433,6.271102916,6.195326926,6.07206227,6.20950152,6.897867232,6.48923351,6.229760367,6.258264509
HS3ST1,9.419012743,8.447753572,9.434313177,9.938362401,7.79233025,8.312504992,8.05339648,7.511078184,8.455137726,9.44489955,9.550261958,9.572302507,8.872205447,7.888010149,7.256167165,7.823844238,7.927181801,8.065888922
HS3ST2,6.051144542,7.093132299,5.788919007,5.931956491,5.907987829,6.034646021,5.86313092,6.121553824,6.131537012,5.868928955,5.979675327,6.230545236,6.057843602,8.763367751,7.754887502,6.481347707,6.085330745,6.601512306
HS3ST3A1,6.333376323,9.24284565,7.125530225,9.610130492,6.610256828,7.430007548,6.986820475,7.907324541,6.595553488,9.013697572,7.734534861,9.417162007,6.387064878,9.039701288,10.09048959,10.70306435,6.260592345,7.059080506
HS3ST3B1,6.002461076,6.556715566,6.005225704,6.016871119,6.141257021,6.019082499,6.072512091,6.038938079,6.001519439,6.011639651,6.088348554,5.982449011,6.022651885,5.913922678,6.154448934,6.114544644,6.075476582,6.053133064
HS3ST4,6.362840685,6.177112528,6.316674706,6.080384361,6.370713907,6.473594388,6.391007411,6.239775699,6.382182181,6.387747498,6.382037579,6.127727159,6.354161385,6.256306265,6.142559865,6.53758759,6.301483574,6.354780425
HS3ST5,6.365016203,6.4561538,6.424170489,6.144182024,6.133225046,6.435392737,6.288094955,6.458612657,6.362540023,6.363023856,6.814886193,6.275698794,6.435677928,6.308156247,6.489123341,6.632387611,6.425210195,6.344196825
HS3ST6,6.269029592,6.495585166,6.46601608,6.300191464,7.097165152,6.269709625,6.377787146,6.159444518,6.265892355,6.389823184,7.007998271,6.374372509,6.271478902,6.392556993,6.502307367,6.748062666,6.269935858,6.230973045
HS6ST1,6.191234549,6.565985214,6.240622491,6.106953783,6.240301162,6.231397654,6.204786114,6.000417419,6.155495055,6.271865432,6.63453301,6.183102962,6.266449623,6.191418745,6.306554811,6.372436584,6.152731628,6.199614832
HS6ST2,5.972251048,6.311768111,5.90094214,6.143044581,5.922051525,5.954495755,6.029274194,6.047544496,6.09995138,5.907842941,5.936685989,6.120800017,7.914037647,6.075127833,6.227995542,6.317085686,5.845863347,6.003550518
HSBP1,9.996172631,10.20746829,10.07622504,10.8349932,9.785001688,9.366389101,10.5771956,10.26285828,10.73459193,10.46127173,10.34384638,10.3651315,10.66457173,10.22753051,10.26678186,10.51991533,11.03356272,10.50224208
HSCB,6.98432389,6.613090909,7.441813772,6.258573194,7.385021122,6.509859387,7.08934984,6.702308462,6.919074261,6.545638846,6.853506684,6.483408703,7.244178283,6.798384961,6.103053391,6.743652294,7.192070844,7.141268263
HSD11B1,6.186090066,7.961263883,6.135735755,8.423523128,6.01493993,6.612375354,6.334882329,6.740932956,6.31123789,6.269309986,6.121138315,7.601424649,6.045561356,8.269875657,6.344196825,6.419802968,6.066263165,7.692484389
HSD11B1L,6.425758045,6.103419796,6.366113927,6.660473739,7.304113078,6.371042501,7.165338163,6.497930854,7.279825983,7.294119854,6.576334533,7.286635381,7.315958332,7.290606867,7.55666162,7.703615698,7.583511562,7.253454205
HSD11B2,9.268667843,7.757133952,8.888259226,7.758933392,12.77140962,11.4421753,11.88119504,10.52594064,11.44384127,8.516970506,10.66557753,9.419012743,11.285738,7.309989221,7.561017522,9.020165468,9.490596603,8.374407897
HSD17B1,6.072239171,6.181175718,6.081767182,6.203649481,6.006747506,6.028739976,6.195326926,6.118176969,6.070572659,6.210240979,5.974585523,6.066988118,6.108341913,6.046905937,6.118399597,6.207231855,5.990825783,5.851661603
HSD17B10,10.70393385,10.1379671,9.952374194,10.37662683,11.04879609,10.51905926,10.55939239,10.00132796,10.76854578,10.81889449,9.687451797,10.17589007,10.84891786,10.95770425,10.64095888,10.86600771,11.54018423,11.23627436
HSD17B11,6.186713088,5.94783468,6.029120445,6.066019638,6.289713682,6.21399285,6.82684081,6.421548164,6.89294104,6.043982455,6.048137206,6.001830385,7.186260854,6.284627024,6.066354665,6.107484296,6.037564524,6.197895853
HSD17B12,10.07622504,9.698023436,9.835771575,10.04547437,9.231739354,9.498144138,9.318847359,9.488139593,9.808766334,8.263792655,9.273078035,8.698608484,10.70130473,8.848356909,9.334820534,8.504943294,10.27071698,9.863257537
HSD17B13,5.844291991,5.977710378,6.127691878,6.006615346,6.119998938,6.05756681,6.083810325,5.939226107,5.979282734,6.17730651,6.102853151,6.001118557,5.960446376,5.923785985,6.063449444,5.885957438,5.884071832,5.782385761
HSD17B14,6.407567916,6.852025063,6.764951186,6.326976259,6.894827462,6.5334833,6.257908439,6.286929003,6.276031139,6.876904887,6.190063276,6.749956556,6.303903098,7.288782116,7.607026206,6.524342212,7.542256502,6.904024
HSD17B2,8.250526767,7.531700378,7.804880899,6.400246048,8.658596745,8.306970324,9.502779902,8.813034965,7.576760955,7.428368548,7.396308506,8.397245076,7.256167165,6.149867204,6.599351123,6.489628189,8.520019086,7.332092957
HSD17B3,6.504323243,6.348422058,6.892711589,6.407340003,7.047568924,7.084580939,6.604537811,6.490606069,7.59630308,6.198141884,6.894341232,6.400536563,6.476492024,6.524849144,6.147488245,6.869502544,6.857815573,6.569705712
HSD17B4,12.24437959,11.32890433,12.07725602,11.26282188,11.49019655,11.2569216,11.60208176,11.57890617,11.95471723,10.63898338,10.72030669,11.57704686,10.97172029,10.96011491,11.12413812,10.68622212,11.65777977,11.54204761
HSD17B6,6.24451245,7.717764833,6.023483805,6.195973129,6.014583374,6.373498575,6.45079671,8.480605234,6.28121047,7.491445878,6.016650084,7.78872029,7.206284733,7.686324732,7.402922518,7.214984453,5.887605445,7.789446918
HSD17B7,11.23318165,12.09444029,10.58004747,9.749933937,11.24448871,12.49041043,11.20769401,12.0269667,10.69800572,12.28309125,9.771387949,10.45725158,9.48389738,11.54693062,11.87209538,10.50224208,9.357774769,9.694694622
HSD17B7P2,9.552831992,10.19703112,9.264101239,8.657657867,9.491695193,10.86382078,9.468513673,9.989835827,9.097599736,10.35156208,8.486159662,9.390199702,8.574122328,9.547081921,10.19836646,8.597385914,8.363874552,8.626634793
HSD17B8,9.618187256,9.456609868,7.883548729,7.161362696,8.648401446,8.608608197,9.806785944,10.22407887,8.864133823,8.515078478,8.508413202,8.254781567,9.126972856,9.508342483,7.963064262,7.264080356,8.684724429,8.311708813
